[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 1] Doth not wisdom cry? and understanding give forth her voice?
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 2] On the top of high places by the way, at the cross-paths she taketh her stand.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 3] Beside the gates, at the entry of the city, at the coming in at the doors, she crieth aloud.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 4] Unto you, men, I call, and my voice is to the sons of man:
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 5] O ye simple, understand prudence; and ye foolish, understand sense.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 6] Hear, for I will speak excellent things, and the opening of my lips shall be right things.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 7] For my palate shall meditate truth, and wickedness is an abomination to my lips.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 8] All the words of my mouth are in righteousness; there is nothing tortuous or perverse in them.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 9] They are all plain to him that understandeth, and right to them that find knowledge.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 10] Receive my instruction, and not silver; and knowledge rather than choice gold:
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 11] for wisdom is better than rubies, and all the things that may be desired are not equal to it.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 12] I wisdom dwell [with] prudence, and find the knowledge [which cometh] of reflection.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 13] The fear of Jehovah is to hate evil; pride, and arrogancy, and the evil way, and the froward mouth do I hate.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 14] Counsel is mine, and sound wisdom: I am intelligence; I have strength.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 15] By me kings reign, and rulers make just decrees;
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 16] by me princes rule, and nobles, all the judges of the earth.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 17] I love those that love me; and they that seek me early shall find me.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 18] Riches and honour are with me; durable wealth and righteousness.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 19] My fruit is better than fine gold, yea, than pure gold; and my revenue than choice silver.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 20] I walk in the path of righteousness, in the midst of the paths of judgment:
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 21] that I may cause those that love me to inherit substance; and I will fill their treasuries.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 22] Jehovah possessed me in the beginning of his way, before his works of old.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 23] I was set up from eternity, from the beginning, before the earth was.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 24] When there were no depths, I was brought forth, when there were no fountains abounding with water.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 25] Before the mountains were settled, before the hills was I brought forth;
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 26] while as yet he had not made the earth, nor the fields, nor the beginning of the dust of the world.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 27] When he prepared the heavens I was there; when he ordained the circle upon the face of the deep;
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 28] when he established the skies above, when the fountains of the deep became strong;
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 29] when he imposed on the sea his decree that the waters should not pass his commandment, when he appointed the foundations of the earth:
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 30] then I was by him [his] nursling, and I was daily his delight, rejoicing always before him;
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 31] rejoicing in the habitable part of his earth, and my delights [were] with the sons of men.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 32] And now, sons, hearken unto me, and blessed are they that keep my ways:
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 33] hear instruction and be wise, and refuse it not.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 34] Blessed is the man that heareth me, watching daily at my gates, waiting at the posts of my doors.
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 35] For whoso findeth me findeth life, and obtaineth favour of Jehovah;
[DARBY | EN | OT | Proverbs | Chapter 8 | Verse 36] but he that sinneth against me doeth violence to his own soul: all they that hate me love death.
