[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 1] ਮੇਰੇ ਵਰਗੀ ਚਾਲ ਚੱਲੋ ਜਿਵੇਂ ਮੈਂ ਮਸੀਹ ਵਰਗੀ ਚਾਲ ਚੱਲਦਾ ਹਾਂ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 2] ਅਤੇ ਜਿਸ ਪ੍ਰਕਾਰ ਮੈਂ ਤੁਹਾਨੂੰ ਰੀਤਾਂ ਸੌਂਪੀਆਂ, ਉਸੇ ਪ੍ਰਕਾਰ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਫੜ੍ਹੀ ਰੱਖਦੇ ਹੋ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 3] ਪਰ ਮੈਂ ਚਾਹੁੰਦਾ ਹਾਂ ਜੋ ਤੁਸੀਂ ਇਹ ਜਾਣ ਲਵੋ ਕਿ ਹਰੇਕ ਆਦਮੀ ਦਾ ਸਿਰ ਮਸੀਹ ਹੈ ਅਤੇ ਔਰਤ ਦਾ ਸਿਰ ਆਦਮੀ ਹੈ ਅਤੇ ਮਸੀਹ ਦਾ ਸਿਰ ਪਰਮੇਸ਼ੁਰ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 4] ਹਰੇਕ ਆਦਮੀ ਜਿਹੜਾ ਸਿਰ ਢੱਕੇ ਹੋਏ ਪ੍ਰਾਰਥਨਾ ਅਥਵਾ ਭਵਿੱਖਬਾਣੀ ਕਰਦਾ ਹੈ, ਉਹ ਆਪਣੇ ਸਿਰ ਦਾ ਨਿਰਾਦਰ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 5] ਪਰ ਹਰੇਕ ਔਰਤ ਜਿਹੜੀ ਬਿਨ੍ਹਾਂ ਸਿਰ ਢੱਕੇ ਪ੍ਰਾਰਥਨਾ ਅਥਵਾ ਭਵਿੱਖਬਾਣੀ ਕਰਦੀ ਹੈ, ਉਹ ਆਪਣੇ ਸਿਰ ਦਾ ਨਿਰਾਦਰ ਕਰਦੀ ਹੈ ਕਿਉਂ ਜੋ ਇਹ ਇਹੋ ਜਿਹੀ ਗੱਲ ਹੈ, ਜਿਵੇਂ ਉਸ ਦਾ ਸਿਰ ਮੁੰਨਿਆ ਗਿਆ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 6] ਕਿਉਂਕਿ ਜੇ ਔਰਤ ਸਿਰ ਨਾ ਢੱਕੇ ਤਾਂ ਆਪਣੇ ਵਾਲ਼ ਕਟਵਾ ਲਵੇ, ਜੇ ਔਰਤ ਨੂੰ ਵਾਲ਼ ਕਟਵਾਉਣ ਵਿੱਚ ਸ਼ਰਮ ਹੁੰਦੀ ਹੈ ਤਾਂ ਸਿਰ ਨੂੰ ਢੱਕ ਲਵੇ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 7] ਕਿਉਂ ਜੋ ਆਦਮੀ ਨੂੰ ਆਪਣਾ ਸਿਰ ਢੱਕ ਕੇ ਰੱਖਣਾ ਨਹੀਂ ਚਾਹੀਦਾ, ਕਿਉਂ ਜੋ ਉਹ ਪਰਮੇਸ਼ੁਰ ਦਾ ਸਰੂਪ ਅਤੇ ਮਹਿਮਾ ਹੈ; ਪਰੰਤੂ ਔਰਤ ਆਦਮੀ ਦਾ ਮਹਿਮਾ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 8] ਕਿਉਂ ਜੋ ਆਦਮੀ ਔਰਤ ਤੋਂ ਨਹੀਂ ਹੋਇਆ ਪਰ ਔਰਤ ਆਦਮੀ ਤੋਂ ਹੋਈ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 9] ਅਤੇ ਨਾ ਆਦਮੀ ਔਰਤ ਲਈ ਉਤਪਤ ਹੋਇਆ ਪਰ ਔਰਤ ਆਦਮੀ ਦੇ ਲਈ ਉਤਪਤ ਹੋਈ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 10] ਇਸ ਕਰਕੇ ਔਰਤ ਨੂੰ ਚਾਹੀਦਾ ਹੈ ਜੋ ਦੂਤਾਂ ਦੇ ਕਾਰਨ ਆਪਣੇ ਸਿਰ ਉੱਤੇ ਅਧਿਕਾਰ ਨੂੰ ਰੱਖੇ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 11] ਤਾਂ ਵੀ ਪ੍ਰਭੂ ਵਿੱਚ ਨਾ ਔਰਤ ਆਦਮੀ ਤੋਂ ਅਲੱਗ ਹੈ ਅਤੇ ਨਾ ਆਦਮੀ ਔਰਤ ਤੋਂ ਅਲੱਗ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 12] ਕਿਉਂਕਿ ਜਿਸ ਪ੍ਰਕਾਰ ਔਰਤ ਆਦਮੀ ਤੋਂ ਹੈ, ਉਸੇ ਪ੍ਰਕਾਰ ਆਦਮੀ ਔਰਤ ਦੇ ਰਾਹੀਂ ਹੈ, ਪਰ ਸਭ ਕੁਝ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਹੈ।
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 13] ਤੁਸੀਂ ਆਪੇ ਨਿਆਂ ਕਰੋ, ਭਲਾ, ਇਹ ਚੰਗਾ ਲੱਗਦਾ ਹੈ ਜੋ ਔਰਤ ਨੰਗੇ ਸਿਰ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਪ੍ਰਾਰਥਨਾ ਕਰੇ?
[IRV | PA | NT | 1 Corinthians | Chapter 11 | Verse 14] ਕੀ ਕੁਦਰਤ ਵੀ ਆਪ ਤੁਹਾਨੂੰ ਨਹੀਂ ਸਿਖਾਉਂਦੀ ਹੈ ਕਿ ਜੇ ਆਦਮੀ ਸਿਰ ਦੇ ਵਾਲ਼ ਲੰਮੇ ਰੱਖੇ ਤਾਂ ਇਹ ਉਸ ਦੇ ਲਈ ਨਿਰਾਦਰ ਹੈ?
