[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 1] أَحْبَبْتُ لِأَنَّ ٱلرَّبَّ يَسْمَعُ صَوْتِي، تَضَرُّعَاتِي.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 2] لِأَنَّهُ أَمَالَ أُذْنَهُ إِلَيَّ فَأَدْعُوهُ مُدَّةَ حَيَاتِي.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 3] ٱكْتَنَفَتْنِي حِبَالُ ٱلْمَوْتِ. أَصَابَتْنِي شَدَائِدُ ٱلْهَاوِيَةِ. كَابَدْتُ ضِيقًا وَحُزْنًا.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 4] وَبِٱسْمِ ٱلرَّبِّ دَعَوْتُ: «آهِ يَارَبُّ، نَجِّ نَفْسِي!».
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 5] ٱلرَّبُّ حَنَّانٌ وَصِدِّيقٌ، وَإِلَهُنَا رَحِيمٌ.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 6] ٱلرَّبُّ حَافِظُ ٱلْبُسَطَاءِ. تَذَلَّلْتُ فَخَلَّصَنِي.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 7] ٱرْجِعِي يَا نَفْسِي إِلَى رَاحَتِكِ، لِأَنَّ ٱلرَّبَّ قَدْ أَحْسَنَ إِلَيْكِ.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 8] لِأَنَّكَ أَنْقَذْتَ نَفْسِي مِنَ ٱلْمَوْتِ، وَعَيْنِي مِنَ ٱلدَّمْعَةِ، وَرِجْلَيَّ مِنَ ٱلزَّلَقِ.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 9] أَسْلُكُ قُدَّامَ ٱلرَّبِّ فِي أَرْضِ ٱلْأَحْيَاءِ.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 10] آمَنْتُ لِذَلِكَ تَكَلَّمْتُ: «أَنَا تَذَلَّلْتُ جِدًّا».
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 11] أَنَا قُلْتُ فِي حَيْرَتِي: «كُلُّ إِنْسَانٍ كَاذِبٌ».
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 12] مَاذَا أَرُدُّ لِلرَّبِّ مِنْ أَجْلِ كُلِّ حَسَنَاتِهِ لِي؟
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 13] كَأْسَ ٱلْخَلَاصِ أَتَنَاوَلُ، وَبِٱسْمِ ٱلرَّبِّ أَدْعُو.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 14] أُوفِي نُذُورِي لِلرَّبِّ مُقَابِلَ كُلِّ شَعْبِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 15] عَزِيزٌ فِي عَيْنَيِ ٱلرَّبِّ مَوْتُ أَتْقِيَائِهِ.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 16] آهِ يَارَبُّ، لِأَنِّي عَبْدُكَ! أَنَا عَبْدُكَ ٱبْنُ أَمَتِكَ. حَلَلْتَ قُيُودِي.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 17] فَلَكَ أَذْبَحُ ذَبِيحَةَ حَمْدٍ، وَبِٱسْمِ ٱلرَّبِّ أَدْعُو.
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 18] أُوفِي نُذُورِي لِلرَّبِّ مُقَابِلَ شَعْبِهِ،
[VANDYKE | AR | OT | Psalms | Chapter 116 | Verse 19] فِي دِيَارِ بَيْتِ ٱلرَّبِّ، فِي وَسَطِكِ يَا أُورُشَلِيمُ. هَلِّلُويَا.
