[KJV | EN | OT | Sirach | Chapter 5 | Verse 1] Set not thy heart upon thy goods: And say not, I have enough for my life.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 2] Follow not thine own mind and thy strength, To walk in the ways of thy heart:
[KJV | EN | OT | Sirach | Chapter 5 | Verse 3] And say not, Who shall controul me for my works? For the Lord will surely revenge thy pride.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 4] Say not, I have sinned, and what harm hath happened unto me? For the Lord is longsuffering, he will in no wise let thee go.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 5] Concerning propitiation, be not without fear To add sin unto sin:
[KJV | EN | OT | Sirach | Chapter 5 | Verse 6] And say not, His mercy is great; He will be pacified for the multitude of my sins: For mercy and wrath come from him, And his indignation resteth upon sinners.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 7] Make no tarrying to turn to the Lord, And put not off from day to day: For suddenly shall the wrath of the Lord come forth, And in thy security thou shalt be destroyed, And perish in the day of vengeance.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 8] Set not thy heart upon goods unjustly gotten; For they shall not profit thee in the day of calamity.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 9] Winnow not with every wind, And go not into every way: For so doth the sinner that hath a double tongue.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 10] Be stedfast in thy understanding; And let thy word be the same.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 11] Be swift to hear; and let thy life be sincere; And with patience give answer.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 12] If thou hast understanding, answer thy neighbour; If not, lay thy hand upon thy mouth.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 13] Honour and shame is in talk; And the tongue of man is his fall.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 14] Be not called a whisperer, and lie not in wait with thy tongue: For a foul shame is upon the thief, And an evil condemnation upon the double tongue.
[KJV | EN | OT | Sirach | Chapter 5 | Verse 15] Be not ignorant of any thing in a great matter or a small.
