[IRV | KN | OT | Proverbs | Chapter 21 | Verse 1] ರಾಜನ ಸಂಕಲ್ಪಗಳು ಯೆಹೋವನ ಕೈಯಲ್ಲಿ ಇರುವ ನೀರಿನ ಕಾಲುವೆಗಳಂತೆ ಇವೆ, ಆತನು ತನಗೆ ಬೇಕಾದ ಕಡೆಗೆ ಅದನ್ನು ತಿರುಗಿಸುತ್ತಾನೆ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 2] ನರನ ನಡತೆಯು ಸ್ವಂತ ದೃಷ್ಟಿಗೆ ಸರಿಯಾಗಿ ಕಾಣುತ್ತವೆ, ಯೆಹೋವನು ಹೃದಯಗಳನ್ನೇ ಪರೀಕ್ಷಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 3] ಯಜ್ಞಕ್ಕಿಂತಲೂ ನೀತಿನ್ಯಾಯಗಳು ಯೆಹೋವನಿಗೆ ಇಷ್ಟ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 4] ಗರ್ವದ ದೃಷ್ಟಿ, ಕೊಬ್ಬಿದ ಹೃದಯ, ದುಷ್ಟರ ಭಾಗ್ಯ, ಇವು ಧರ್ಮವಿರುದ್ಧ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 5] ಶ್ರಮಶೀಲರಿಗೆ ತಮ್ಮ ಯತ್ನಗಳಿಂದ ಸಮೃದ್ಧಿ, ಆತುರಪಡುವವರಿಗೆಲ್ಲಾ ಕೊರತೆಯೇ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 6] ಸುಳ್ಳಿನಿಂದ ಸಿಕ್ಕಿದ ಸಂಪತ್ತು ಹಬೆಯಂತೆ ಅಸ್ಥಿರ, ಮೃತ್ಯುಪಾಶದಂತೆ ನಾಶಕರ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 7] ದುಷ್ಟರು ನ್ಯಾಯವನ್ನು ನಿರಾಕರಿಸುವ ಕಾರಣ, ಅವರ ಬಲಾತ್ಕಾರವು ಅವರನ್ನೇ ಎಳೆದುಕೊಂಡು ಹೋಗುವುದು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 8] ದೋಷಿಯ ದಾರಿ ಡೊಂಕು; ಶುದ್ಧನ ನಡತೆ ಸರಳ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 9] ಮನೆಯಲ್ಲಿ ಜಗಳಗಂಟಿಯ ಜೊತೆಯಲ್ಲಿರುವುದಕ್ಕಿಂತಲೂ, ಮಾಳಿಗೆಯ ಒಂದು ಮೂಲೆಯಲ್ಲಿ ವಾಸಿಸುವುದೇ ಲೇಸು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 10] ದುರಾತ್ಮನು ಕೇಡಿನ ಮೇಲೇ ಮನಸ್ಸಿಡುವನು ನೆರೆಯವನಿಗೂ ದಯೆತೋರಿಸನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 11] ಧರ್ಮನಿಂದಕನಿಗೆ ದಂಡನೆಯಾದರೆ ನೋಡಿದ ಮೂಢನೂ ಜ್ಞಾನವನ್ನು ಪಡೆಯುವನು, ಜ್ಞಾನಿಗೆ ಶಿಕ್ಷೆಯಾದರೆ ತಾನೇ ತಿಳಿವಳಿಕೆಯನ್ನು ಹೊಂದುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 12] ನೀತಿಸ್ವರೂಪನು ಅಧರ್ಮಿಯ ಮನೆಯನ್ನು ಲಕ್ಷ್ಯಕ್ಕೆ ತಂದು, ಅಧರ್ಮಿಗಳನ್ನು ಕೆಡವಿ ಅವರನ್ನು ಕೇಡಿಗೆ ತಳ್ಳುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 13] ಬಡವನ ಕೂಗಿಗೆ ಕಿವಿಮುಚ್ಚಿಕೊಳ್ಳುವವನು, ತಾನೇ ಮೊರೆಯಿಡುವಾಗ ಯಾರೂ ಉತ್ತರಕೊಡರು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 14] ಗುಪ್ತ ಬಹುಮಾನವು ಕೋಪವನ್ನಾರಿಸುವುದು, ಮಡಲಲ್ಲಿಟ್ಟ ಲಂಚವು ಕ್ರೋಧವನ್ನು ಅಣಗಿಸುವುದು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 15] ನ್ಯಾಯಮಾರ್ಗವು ಶಿಷ್ಟರಿಗೆ ಸಂತೋಷ, ಕೆಡುಕರಿಗೆ ಕೇಡು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 16] ಜ್ಞಾನಮಾರ್ಗದಿಂದ ತಪ್ಪಿದವನಿಗೆ, ಪ್ರೇತಸಮೂಹವೇ ವಿಶ್ರಾಂತಿಸ್ಥಾನ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 17] ಭೋಗಾಸಕ್ತನು ಕೊರತೆಪಡುವನು, ದ್ರಾಕ್ಷಾರಸವನ್ನು ಮತ್ತು ಸುಗಂಧ ತೈಲವನ್ನು ಆಶಿಸುವವನು ನಿರ್ಭಾಗ್ಯನಾಗುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 18] ಶಿಷ್ಟನಿಗೆ ಪ್ರತಿಯಾಗಿ ದುಷ್ಟನೂ, ಸತ್ಯವಂತರಿಗೆ ಬದಲಾಗಿ ದ್ರೋಹಿಯೂ ದಂಡನೆಗೆ ಈಡಾಗುವರು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 19] ಕಾಡುವ ಜಗಳಗಂಟಿಯ ಸಹವಾಸಕ್ಕಿಂತಲೂ, ಕಾಡಿನ ವಾಸವೇ ಲೇಸು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 20] ಜ್ಞಾನಿಯ ನಿವಾಸದಲ್ಲಿ ಎಣ್ಣೆಯು ಮತ್ತು ಶ್ರೇಷ್ಠ ಸಂಪತ್ತು ಇರುವವು, ಜ್ಞಾನಹೀನನು ಇದ್ದದ್ದನ್ನೆಲ್ಲಾ ನುಂಗಿಬಿಡುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 21] ನೀತಿ ಮತ್ತು ಕೃಪೆಗಳನ್ನು ಹುಡುಕುವವನು ಜೀವ ಮತ್ತು ಕೀರ್ತಿಗಳನ್ನು ಪಡೆಯುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 22] ಜ್ಞಾನಿಯು ಬಲಿಷ್ಠರ ಪಟ್ಟಣವನ್ನು ಮುತ್ತಿಗೆ ಹಾಕಿ, ಅವರು ನಂಬಿದ್ದ ಬಲವಾದ ಕೋಟೆಯನ್ನು ಕೆಡವಿ ಹಾಕುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 23] ತನ್ನ ಬಾಯನ್ನೂ, ನಾಲಿಗೆಯನ್ನೂ ಕಾಯುವವನು ತೊಂದರೆಗಳಿಂದ ರಕ್ಷಿಸಿಕೊಳ್ಳುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 24] “ಧರ್ಮನಿಂದಕ” ಎನ್ನಿಸಿಕೊಳ್ಳುವವನು ಸೊಕ್ಕೇರಿದ ಅಹಂಕಾರಿಯಾಗಿ, ಗರ್ವ ಮತ್ತು ಮದದಿಂದ ಪ್ರವರ್ತಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 25] ಸೋಮಾರಿಯ ಆಶೆಯು ಅವನನ್ನು ಕೊಲ್ಲುವುದು, ಅವನ ಕೈಗಳು ದುಡಿಯಲಾರವು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 26] ಧರ್ಮಿಯು ಹಿಂತೆಗೆಯದೆ ಕೊಡುವನು, ಲೋಭಿಯು ದಿನವೆಲ್ಲಾ ಆಶಿಸುತ್ತಲೇ ಇರುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 27] ದುಷ್ಟರ ಯಜ್ಞವೇ ಅಸಹ್ಯ, ಅದನ್ನು ದುರ್ಬುದ್ಧಿಯಿಂದ ಅರ್ಪಿಸುವುದು ಮತ್ತೂ ಅಸಹ್ಯ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 28] ಸುಳ್ಳು ಸಾಕ್ಷಿಯು ಅಳಿದುಹೋಗುವುದು, ಕೇಳಿದ್ದನ್ನೇ ಹೇಳುವವನ ಸಾಕ್ಷಿಯು ಶಾಶ್ವತವಾಗಿರುವುದು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 29] ದುಷ್ಟನ ಮುಖದಲ್ಲಿ ಲಜ್ಜೆಯಿಲ್ಲ, ಸತ್ಯವಂತನು ತನ್ನ ನಡತೆಯನ್ನು ಸರಿಪಡಿಸಿಕೊಳ್ಳುತ್ತಿರುವನು.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 30] ಯಾವ ಜ್ಞಾನವೂ, ಯಾವ ವಿವೇಕವೂ, ಯಾವ ಆಲೋಚನೆಯೂ ಯೆಹೋವನೆದುರಿಗೆ ನಿಲ್ಲುವುದಿಲ್ಲ.
[IRV | KN | OT | Proverbs | Chapter 21 | Verse 31] ಅಶ್ವಬಲವು ಯುದ್ಧದಿನಕ್ಕಾಗಿ ಸನ್ನದ್ಧವಾಗಿದ್ದರೂ ಜಯವು ಯೆಹೋವನಿಂದಲೇ.
