[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 1] يَا ٱبْنِي، إِنْ قَبِلْتَ كَلَامِي وَخَبَّأْتَ وَصَايَايَ عِنْدَكَ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 2] حَتَّى تُمِيلَ أُذْنَكَ إِلَى ٱلْحِكْمَةِ، وَتُعَطِّفَ قَلْبَكَ عَلَى ٱلْفَهْمِ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 3] إِنْ دَعَوْتَ ٱلْمَعْرِفَةَ، وَرَفَعْتَ صَوْتَكَ إِلَى ٱلْفَهْمِ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 4] إِنْ طَلَبْتَهَا كَٱلْفِضَّةِ، وَبَحَثْتَ عَنْهَا كَٱلْكُنُوزِ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 5] فَحِينَئِذٍ تَفْهَمُ مَخَافَةَ ٱلرَّبِّ، وَتَجِدُ مَعْرِفَةَ ٱللهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 6] لِأَنَّ ٱلرَّبَّ يُعْطِي حِكْمَةً. مِنْ فَمِهِ ٱلْمَعْرِفَةُ وَٱلْفَهْمُ.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 7] يَذْخَرُ مَعُونَةً لِلْمُسْتَقِيمِينَ. هُوَ مِجَنٌّ لِلسَّالِكِينَ بِٱلْكَمَالِ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 8] لِنَصْرِ مَسَالِكِ ٱلْحَقِّ وَحِفْظِ طَرِيقِ أَتْقِيَائِهِ.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 9] حِينَئِذٍ تَفْهَمُ ٱلْعَدْلَ وَٱلْحَقَّ وَٱلِٱسْتِقَامَةَ، كُلَّ سَبِيلٍ صَالِحٍ.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 10] إِذَا دَخَلَتِ ٱلْحِكْمَةُ قَلْبَكَ، وَلَذَّتِ ٱلْمَعْرِفَةُ لِنَفْسِكَ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 11] فَٱلْعَقْلُ يَحْفَظُكَ، وَٱلْفَهْمُ يَنْصُرُكَ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 12] لِإِنْقَاذِكَ مِنْ طَرِيقِ ٱلشِّرِّيرِ، وَمِنَ ٱلْإِنْسَانِ ٱلْمُتَكَلِّمِ بِٱلْأَكَاذِيبِ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 13] ٱلتَّارِكِينَ سُبُلَ ٱلِٱسْتِقَامَةِ لِلسُّلُوكِ فِي مَسَالِكِ ٱلظُّلْمَةِ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 14] ٱلْفَرِحِينَ بِفَعْلِ ٱلسُّوءِ، ٱلْمُبْتَهِجِينَ بِأَكَاذِيبِ ٱلشَّرِّ،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 15] ٱلَّذِينَ طُرُقُهُمْ مُعْوَجَّةٌ، وَهُمْ مُلْتَوُونَ فِي سُبُلِهِمْ.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 16] لِإِنْقَاذِكَ مِنَ ٱلْمَرْأَةِ ٱلْأَجْنَبِيَّةِ، مِنَ ٱلْغَرِيبَةِ ٱلْمُتَمَلِّقَةِ بِكَلَامِهَا،
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 17] ٱلتَّارِكَةِ أَلِيفَ صِبَاهَا، وَٱلنَّاسِيَةِ عَهْدَ إِلَهِهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 18] لِأَنَّ بَيْتَهَا يَسُوخُ إِلَى ٱلْمَوْتِ، وَسُبُلُهَا إِلَى ٱلْأَخِيلَةِ.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 19] كُلُّ مَنْ دَخَلَ إِلَيْهَا لَا يَؤُوبُ، وَلَا يَبْلُغُونَ سُبُلَ ٱلْحَيَاةِ.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 20] حَتَّى تَسْلُكَ فِي طَرِيقِ ٱلصَّالِحِينَ وَتَحْفَظَ سُبُلَ ٱلصِّدِّيقِينَ.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 21] لِأَنَّ ٱلْمُسْتَقِيمِينَ يَسْكُنُونَ ٱلْأَرْضَ، وَٱلْكَامِلِينَ يَبْقَوْنَ فِيهَا.
[VANDYKE | AR | OT | Proverbs | Chapter 2 | Verse 22] أَمَّا ٱلْأَشْرَارُ فَيَنْقَرِضُونَ مِنَ ٱلْأَرْضِ، وَٱلْغَادِرُونَ يُسْتَأْصَلُونَ مِنْهَا.
