[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 1] A [good] name is rather to be chosen than great riches; loving favour rather than silver and gold.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 2] The rich and poor meet together; Jehovah is the maker of them all.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 3] A prudent [man] seeth the evil, and hideth himself; but the simple pass on, and are punished.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 4] The reward of humility [and] the fear of Jehovah is riches, and honour, and life.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 5] Thorns [and] snares are in the way of the perverse: he that keepeth his soul holdeth himself far from them.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 6] Train up the child according to the tenor of his way, and when he is old he will not depart from it.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 7] The rich ruleth over the poor; and the borrower is servant to the lender.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 8] He that soweth unrighteousness shall reap iniquity, and the rod of his wrath shall have an end.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 9] He that hath a bountiful eye shall be blessed, for he giveth of his bread to the poor.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 10] Cast out the scorner, and contention will depart, and strife and ignominy shall cease.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 11] He that loveth pureness of heart, upon whose lips is grace, the king is his friend.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 12] The eyes of Jehovah preserve knowledge; but he overthroweth the words of the unfaithful.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 13] The sluggard saith, There is a lion without, I shall be killed in the streets!
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 14] The mouth of strange women is a deep ditch: he with whom Jehovah is displeased shall fall therein.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 15] Folly is bound in the heart of a child; the rod of correction shall drive it far from him.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 16] He that oppresseth the poor, it is to enrich him; he that giveth to the rich, [bringeth] only to want.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 17] Incline thine ear, and hear the words of the wise, and apply thy heart unto my knowledge.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 18] For it is a pleasant thing if thou keep them within thee: they shall be together fitted on thy lips.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 19] That thy confidence may be in Jehovah, I have made [them] known to thee this day, even to thee.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 20] Have not I written to thee excellent things, in counsels and knowledge,
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 21] that I might make thee know the certainty of the words of truth; that thou mightest carry back words of truth to them that send thee?
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 22] Rob not the poor, because he is poor, neither oppress the afflicted in the gate;
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 23] for Jehovah will plead their cause, and despoil the soul of those that despoil them.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 24] Make no friendship with an angry man, and go not with a furious man;
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 25] lest thou learn his paths, and get a snare to thy soul.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 26] Be not of them that strike hands, of them that are sureties for debts:
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 27] if thou hast nothing to pay, why should he take away thy bed from under thee?
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 28] Remove not the ancient landmark which thy fathers have set.
[DARBY | EN | OT | Proverbs | Chapter 22 | Verse 29] Hast thou seen a man diligent in his work? He shall stand before kings; he shall not stand before the mean.
