[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 1] ਹੇ ਇਸਰਾਏਲ, ਜੇ ਤੂੰ ਮੁੜੇਂ, ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ, ਤਾਂ ਤੂੰ ਮੇਰੀ ਵੱਲ ਮੁੜੇਂਗਾ। ਜੇ ਤੂੰ ਆਪਣੀਆਂ ਘਿਣਾਉਣੀਆਂ ਚੀਜ਼ਾਂ ਨੂੰ ਮੇਰੇ ਅੱਗੋਂ ਦੂਰ ਕਰੇਂ, ਜੇ ਤੂੰ ਅਵਾਰਾ ਨਾ ਫਿਰੇਂ,
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 2] ਜੇ ਤੂੰ ਜੀਉਂਦੇ ਯਹੋਵਾਹ ਦੀ ਸਹੁੰ ਖਾਵੇਂ, ਸਚਿਆਈ ਨਾਲ, ਨਿਆਂ ਨਾਲ ਅਤੇ ਧਰਮ ਨਾਲ, ਤਦ ਕੌਮਾਂ ਉਹ ਦੇ ਵਿੱਚ ਆਪ ਨੂੰ ਮੁਬਾਰਕ ਆਖਣਗੀਆਂ, ਅਤੇ ਉਹ ਨੂੰ ਉਸਤਤ ਦੇਣਗੀਆਂ।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 3] ਯਹੂਦਾਹ ਦੇ ਮਨੁੱਖਾਂ ਅਤੇ ਯਰੂਸ਼ਲਮ ਲਈ ਯਹੋਵਾਹ ਤਾਂ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ, - ਆਪਣੀ ਪਈ ਹੋਈ ਜ਼ਮੀਨ ਨੂੰ ਵਾਹੋ, ਅਤੇ ਕੰਡਿਆਂ ਵਿੱਚ ਨਾ ਬੀਜੋ।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 4] ਯਹੋਵਾਹ ਲਈ ਆਪਣੀ ਸੁੰਨਤ ਕਰਾਓ, ਆਪਣੇ ਦਿਲ ਦੀ ਖੱਲੜੀ ਲਹਾਓ, ਹੇ ਯਹੂਦਾਹ ਦੇ ਮਨੁੱਖੋ ਅਤੇ ਯਰੂਸ਼ਲਮ ਦੇ ਵਾਸੀਓ! ਮਤੇ ਮੇਰਾ ਗੁੱਸਾ ਅੱਗ ਵਾਂਗੂੰ ਭੜਕ ਉੱਠੇ, ਉਹ ਬਲ ਉੱਠੇ ਅਤੇ ਬੁਝਾਉਣ ਵਾਲਾ ਕੋਈ ਨਾ ਹੋਵੇ, ਤੁਹਾਡੀਆਂ ਕਰਤੂਤਾਂ ਦੀ ਬੁਰਿਆਈ ਦੇ ਕਾਰਨ।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 5] ਯਹੂਦਾਹ ਵਿੱਚ ਦੱਸੋ ਅਤੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਸੁਣਾਓ, ਅਤੇ ਆਖੋ ਭਈ ਦੇਸ ਵਿੱਚ ਤੁਰ੍ਹੀ ਫੂਕੋ, ਉੱਚੀ ਦੇ ਕੇ ਪੁਕਾਰੋ ਅਤੇ ਆਖੋ, ਇਕੱਠੇ ਹੋ ਜੋ ਭਈ ਅਸੀਂ ਗੜ੍ਹ ਵਾਲੇ ਸ਼ਹਿਰਾਂ ਵਿੱਚ ਚੱਲੀਏ!
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 6] ਤੁਸੀਂ ਸੀਯੋਨ ਵਿੱਚ ਝੰਡਾ ਉੱਚਾ ਕਰੋ, ਪਨਾਹ ਲਈ ਨੱਠੋ ਅਤੇ ਖਲੋਵੋ ਨਾ, ਕਿਉਂ ਜੋ ਮੈਂ ਉੱਤਰ ਵਲੋਂ ਬੁਰਿਆਈ ਅਤੇ ਵੱਡੀ ਬਰਬਾਦੀ ਲਿਆ ਰਿਹਾ ਹੈ!
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 7] ਇੱਕ ਬੱਬਰ ਸ਼ੇਰ ਆਪਣੇ ਝਾੜ ਵਿੱਚੋਂ ਨਿੱਕਲਿਆ ਹੈ, ਅਤੇ ਕੌਮਾਂ ਦੇ ਨਾਸ ਕਰਨ ਵਾਲੇ ਨੇ ਕੂਚ ਕੀਤਾ, ਉਹ ਆਪਣੇ ਥਾਂ ਤੋਂ ਨਿੱਕਲਿਆ, ਭਈ ਤੇਰੇ ਦੇਸ ਨੂੰ ਵਿਰਾਨ ਕਰੇ। ਤੇਰੇ ਸ਼ਹਿਰ ਥੇਹ ਹੋ ਜਾਣਗੇ, ਅਤੇ ਉੱਥੇ ਵੱਸਣ ਵਾਲਾ ਕੋਈ ਨਾ ਰਹੇਗਾ।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 8] ਇਸ ਦੇ ਕਾਰਨ ਤੁਸੀਂ ਆਪਣੇ ਲੱਕ ਉੱਤੇ ਤੱਪੜ ਪਾਓ, ਸਿਆਪਾ ਕਰੋ ਤੇ ਕੁਰਲਾਓ, ਕਿ ਯਹੋਵਾਹ ਦਾ ਤੇਜ਼ ਗੁੱਸਾ ਸਾਥੋਂ ਟਲ ਨਹੀਂ ਗਿਆ।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 9] ਉਸ ਦਿਨ ਇਸ ਤਰ੍ਹਾਂ ਹੋਵੇਗਾ, ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ ਕਿ ਰਾਜਾ ਦਾ ਦਿਲ ਅਤੇ ਸਰਦਾਰਾਂ ਦੇ ਦਿਲ ਬੈਠ ਜਾਣਗੇ, ਅਤੇ ਜਾਜਕ ਡਰ ਜਾਣਗੇ ਅਤੇ ਨਬੀ ਹੈਰਾਨ ਹੋਣਗੇ
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 10] ਤਦ ਮੈਂ ਆਖਿਆ, ਹਾਏ, ਪ੍ਰਭੂ ਯਹੋਵਾਹ! ਤੂੰ ਸੱਚ-ਮੁੱਚ ਇਸ ਪਰਜਾ ਨੂੰ ਅਤੇ ਯਰੂਸ਼ਲਮ ਨੂੰ ਇਹ ਆਖ ਕੇ ਵੱਡਾ ਧੋਖਾ ਦਿੱਤਾ ਭਈ ਤੁਹਾਡੇ ਲਈ ਸ਼ਾਂਤੀ ਹੋਵੇਗੀ ਪਰ ਤਲਵਾਰ ਜਾਨਾਂ ਤੱਕ ਅੱਪੜ ਪਈ ਹੈ!।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 11] ਉਸ ਵੇਲੇ ਇਸ ਪਰਜਾ ਨੂੰ ਅਤੇ ਯਰੂਸ਼ਲਮ ਨੂੰ ਇਹ ਆਖਿਆ ਜਾਵੇਗਾ ਕਿ ਉੱਚਿਆਂ ਥਾਵਾਂ ਤੋਂ ਇੱਕ ਤੱਤੀ ਹਵਾ ਮੇਰੀ ਪਰਜਾ ਦੀ ਧੀ ਵੱਲ ਉਜਾੜ ਤੋਂ ਵੱਗੇਗੀ, ਉਡਾਉਣ ਜਾਂ ਸਾਫ਼ ਕਰਨ ਲਈ ਨਹੀਂ,
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 12] ਸਗੋਂ ਉੱਥੋਂ ਇੱਕ ਤੁੰਦ ਹਵਾ ਮੇਰੇ ਲਈ ਵੱਗੇਗੀ, ਨਾਲੇ ਹੁਣ ਮੈਂ ਉਹਨਾਂ ਉੱਤੇ ਨਿਆਂ ਕਰਾਂਗਾ।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 13] ਵੇਖ ਉਹ ਬੱਦਲਾਂ ਵਾਂਗੂੰ ਆ ਰਿਹਾ ਹੈ, ਉਹ ਦੇ ਰਥ ਵਾਵਰੋਲੇ ਵਾਂਗੂੰ ਹਨ, ਉਹ ਦੇ ਘੋੜੇ ਉਕਾਬਾਂ ਨਾਲੋਂ ਤੇਜ ਹਨ, ਹਾਏ ਸਾਨੂੰ! ਅਸੀਂ ਬਰਬਾਦ ਹੋ ਗਏ!
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 14] ਹੇ ਯਰੂਸ਼ਲਮ, ਤੂੰ ਆਪਣੇ ਦਿਲ ਨੂੰ ਬੁਰਿਆਈ ਤੋਂ ਧੋ, ਭਈ ਤੂੰ ਬਚਾਇਆ ਜਾਵੇਂ। ਕਿੰਨ੍ਹਾਂ ਚਿਰ ਤੇਰੇ ਬੁਰੇ ਖਿਆਲ ਤੇਰੇ ਮਨ ਵਿੱਚ ਰਹਿਣਗੇ?
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 15] ਦਾਨ ਤੋਂ ਤਾਂ ਇੱਕ ਅਵਾਜ਼ ਦੱਸਦੀ, ਅਤੇ ਇਫ਼ਰਾਈਮ ਦੇ ਪਰਬਤ ਤੋਂ ਬਦੀ ਦੀ ਖ਼ਬਰ ਸੁਣਾਉਂਦੀ,
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 16] ਤੁਸੀਂ ਕੌਮਾਂ ਨੂੰ ਚੇਤੇ ਕਰਾਓ, - ਵੇਖੋ, ਯਰੂਸ਼ਲਮ ਨੂੰ ਖ਼ਬਰ ਦਿਓ, ਕਿ ਘੇਰਾ ਪਾਉਣ ਵਾਲੇ ਦੂਰ ਦੇਸ ਤੋਂ ਲੱਗੇ ਆਉਂਦੇ ਹਨ!
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 17] ਉਹ ਯਹੂਦਾਹ ਦੇ ਸ਼ਹਿਰਾਂ ਦੇ ਵਿਰੁੱਧ ਲਲਕਾਰਦੇ ਹਨ! ਪੈਲੀ ਦੇ ਰਾਖਿਆਂ ਵਾਂਗੂੰ ਉਹ ਉਸ ਨੂੰ ਚੌਂਹ ਪਾਸਿਓਂ ਘੇਰਨਗੇ, ਉਹ ਮੈਥੋਂ ਆਕੀ ਜੋ ਹੋ ਗਈ ਹੈ, ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 18] ਤੇਰੀ ਚਾਲ ਅਤੇ ਤੇਰੇ ਕੰਮਾਂ ਨੇ ਇਹ ਤੇਰੇ ਉੱਤੇ ਲਿਆਂਦਾ, ਇਹ ਤੇਰੀ ਬਿਪਤਾ ਹੈ ਅਤੇ ਇਹ ਕੌੜੀ ਹੈ, ਇਹ ਤੇਰੇ ਦਿਲ ਤੱਕ ਅੱਪੜ ਗਈ ਹੈ!
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 19] ਹਾਏ ਮੈਨੂੰ! ਹਾਏ ਮੈਨੂੰ! ਮੇਰੇ ਦਿਲ ਦੇ ਪੜਦੇ ਵਿੱਚ ਪੀੜ ਹੈ, ਮੇਰਾ ਦਿਲ ਬੇਚੈਨ ਹੈ, ਮੈਂ ਚੁੱਪ ਨਹੀਂ ਰਹਿ ਸਕਦਾ! ਮੇਰੀ ਜਾਨ ਤੁਰ੍ਹੀ ਦੀ ਅਵਾਜ਼, ਅਤੇ ਲੜਾਈ ਦੀ ਲਲਕਾਰ ਸੁਣਦੀ ਹੈ।
[IRV | PA | OT | Jeremiah | Chapter 4 | Verse 20] ਰਾਹ ਉੱਤੇ ਹਾਰ ਦੀ ਖ਼ਬਰ ਆਉਂਦੀ ਹੈ, ਕਿ ਸਾਰਾ ਦੇਸ ਤਬਾਹ ਹੋ ਗਿਆ, ਅਚਾਨਕ ਤੇਰੇ ਤੰਬੂ ਨਾਸ ਗਏ, ਅਤੇ ਮੇਰੇ ਪੜਦੇ ਇੱਕ ਦਮ ਵਿੱਚ।
