[IRV | PA | OT | Psalms | Chapter 37 | Verse 1] ਬੁਰਿਆਂ ਦੇ ਕਾਰਨ ਨਾ ਕੁੜ੍ਹ, ਕੁਕਰਮੀਆਂ ਵੱਲੋਂ ਨਾ ਸੜ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 2] ਓਹ ਤਾਂ ਘਾਹ ਵਾਂਗੂੰ ਛੇਤੀ ਕੁਮਲਾ ਜਾਣਗੇ, ਅਤੇ ਸਾਗ ਪੱਤ ਵਾਂਗੂੰ ਮੁਰਝਾ ਜਾਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 3] ਯਹੋਵਾਹ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖ ਅਤੇ ਭਲਿਆਈ ਕਰ ਦੇਸ ਵਿੱਚ ਵੱਸ ਅਤੇ ਸਚਿਆਈ ਉੱਤੇ ਪਲ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 4] ਤੂੰ ਯਹੋਵਾਹ ਵਿੱਚ ਨਿਹਾਲ ਰਹਿ, ਤਾਂ ਉਹ ਤੇਰੇ ਮਨੋਰਥਾਂ ਨੂੰ ਪੂਰਿਆਂ ਕਰੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 5] ਆਪਣਾ ਰਾਹ ਯਹੋਵਾਹ ਦੇ ਵੱਸ ਵਿੱਚ ਕਰ, ਅਤੇ ਉਸ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖ ਅਤੇ ਉਹ ਪੂਰਿਆਂ ਕਰੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 6] ਉਹ ਤੇਰੇ ਧਰਮ ਨੂੰ ਚਾਨਣ ਵਾਂਗੂੰ ਅਤੇ ਤੇਰੇ ਨਿਆਂ ਨੂੰ ਦੁਪਹਿਰ ਵਾਂਗੂੰ ਪ੍ਰਕਾਸ਼ਮਾਨ ਕਰੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 7] ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਚੁੱਪ-ਚਾਪ ਰਹਿ ਅਤੇ ਧੀਰਜ ਨਾਲ ਉਹ ਦੀ ਉਡੀਕ ਰੱਖ, ਉਸ ਮਨੁੱਖ ਦੇ ਕਾਰਨ ਨਾ ਕੁੜ੍ਹ ਜਿਹ ਦਾ ਰਾਹ ਸਫ਼ਲ ਹੁੰਦਾ ਹੈ, ਅਤੇ ਜਿਹੜਾ ਜੁਗਤਾਂ ਨੂੰ ਪੂਰਿਆਂ ਕਰਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 8] ਕ੍ਰੋਧ ਨੂੰ ਛੱਡ ਅਤੇ ਕੋਪ ਨੂੰ ਤਿਆਗ ਦੇ, ਨਾ ਕੁੜ੍ਹ - ਉਸ ਤੋਂ ਬੁਰਿਆਈ ਹੀ ਨਿੱਕਲਦੀ ਹੈ
[IRV | PA | OT | Psalms | Chapter 37 | Verse 9] ਕੁਕਰਮੀ ਤਾਂ ਕੱਢ ਦਿੱਤੇ ਜਾਣਗੇ, ਪਰ ਜਿਹੜੇ ਯਹੋਵਾਹ ਨੂੰ ਉਡੀਕਦੇ ਹਨ ਉਹ ਧਰਤੀ ਦੇ ਵਾਰਿਸ ਹੋਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 10] ਹੁਣ ਥੋੜਾ ਹੀ ਚਿਰ ਰਹਿੰਦਾ ਹੈ ਕਿ ਦੁਸ਼ਟ ਨਹੀਂ ਹੋਵੇਗਾ, ਤੂੰ ਉਸ ਦੇ ਨਿਵਾਸ ਨੂੰ ਧਿਆਨ ਨਾਲ ਵੇਖੇਂਗਾ, ਪਰ ਉਹ ਕਿਤੇ ਨਾ ਹੋਵੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 37 | Verse 11] ਪਰ ਹਲੀਮ ਧਰਤੀ ਦੇ ਵਾਰਿਸ ਹੋਣਗੇ, ਅਤੇ ਬਹੁਤੇ ਸੁੱਖ ਕਰਕੇ ਆਪਣੇ ਆਪ ਨੂੰ ਨਿਹਾਲ ਕਰਨਗੇ।
