[WLC | HE | OT | Job | Chapter 37 | Verse 1] אַף־לְ֭זֹאת יֶחֱרַ֣ד לִבִּ֑י וְ֝יִתַּ֗ר מִמְּקוֹמֽוֹ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 2] שִׁמְע֤וּ שָׁמ֣וֹעַ בְּרֹ֣גֶז קֹל֑וֹ וְ֝הֶ֗גֶה מִפִּ֥יו יֵצֵֽא׃
[WLC | HE | OT | Job | Chapter 37 | Verse 3] תַּֽחַת־כָּל־הַשָּׁמַ֥יִם יִשְׁרֵ֑הוּ וְ֝אוֹר֗וֹ עַל־כַּנְפ֥וֹת הָאָֽרֶץ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 4] אַחֲרָ֤יו ׀ יִשְׁאַג־ק֗וֹל יַ֭רְעֵם בְּק֣וֹל גְּאוֹנ֑וֹ וְלֹ֥א יְ֝עַקְּבֵ֗ם כִּֽי־יִשָּׁמַ֥ע קוֹלֽוֹ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 5] יַרְעֵ֤ם אֵ֣ל בְּ֭קוֹלוֹ נִפְלָא֑וֹת עֹשֶׂ֥ה גְ֝דֹל֗וֹת וְלֹ֣א נֵדָֽע׃
[WLC | HE | OT | Job | Chapter 37 | Verse 6] כִּ֤י לַשֶּׁ֨לַג ׀ יֹאמַ֗ר הֱוֵ֫א אָ֥רֶץ וְגֶ֥שֶׁם מָטָ֑ר וְ֝גֶ֗שֶׁם מִטְר֥וֹת עֻזּֽוֹ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 7] בְּיַד־כָּל־אָדָ֥ם יַחְתּ֑וֹם לָ֝דַ֗עַת כָּל־אַנְשֵׁ֥י מַעֲשֵֽׂהוּ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 8] וַתָּבֹ֣א חַיָּ֣ה בְמוֹ־אָ֑רֶב וּבִמְע֖וֹנֹתֶ֣יהָ תִשְׁכֹּֽן׃
[WLC | HE | OT | Job | Chapter 37 | Verse 9] מִן־הַ֭חֶדֶר תָּב֣וֹא סוּפָ֑ה וּֽמִמְּזָרִ֥ים קָרָֽה׃
[WLC | HE | OT | Job | Chapter 37 | Verse 10] מִנִּשְׁמַת־אֵ֥ל יִתֶּן־קָ֑רַח וְרֹ֖חַב מַ֣יִם בְּמוּצָֽק׃
[WLC | HE | OT | Job | Chapter 37 | Verse 11] אַף־בְּ֭רִי יַטְרִ֣יחַ עָ֑ב יָ֝פִ֗יץ עֲנַ֣ן אוֹרֽוֹ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 12] וְה֤וּא מְסִבּ֨וֹת ׀ מִתְהַפֵּ֣ךְ בתחבולתו לְפָעֳלָ֑ם כֹּ֖ל אֲשֶׁ֥ר יְצַוֵּ֓ם ׀ עַל־פְּנֵ֖י תֵבֵ֣ל אָֽרְצָה׃
[WLC | HE | OT | Job | Chapter 37 | Verse 13] אִם־לְשֵׁ֥בֶט אִם־לְאַרְצ֑וֹ אִם־לְ֝חֶ֗סֶד יַמְצִאֵֽהוּ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 14] הַאֲזִ֣ינָה זֹּ֣את אִיּ֑וֹב עֲ֝מֹ֗ד וְהִתְבּוֹנֵ֤ן ׀ נִפְלְא֬וֹת אֵֽל׃
[WLC | HE | OT | Job | Chapter 37 | Verse 15] הֲ֭תֵדַע בְּשׂוּם־אֱל֣וֹהַּ עֲלֵיהֶ֑ם וְ֝הוֹפִ֗יעַ א֣וֹר עֲנָנֽוֹ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 16] הֲ֭תֵדַע עַל־מִפְלְשֵׂי ־עָ֑ב מִ֝פְלְא֗וֹת תְּמִ֣ים דֵּעִֽים׃
[WLC | HE | OT | Job | Chapter 37 | Verse 17] אֲשֶׁר־בְּגָדֶ֥יךָ חַמִּ֑ים בְּהַשְׁקִ֥ט אֶ֝֗רֶץ מִדָּרֽוֹם׃
[WLC | HE | OT | Job | Chapter 37 | Verse 18] תַּרְקִ֣יעַ עִ֭מּוֹ לִשְׁחָקִ֑ים חֲ֝זָקִ֗ים כִּרְאִ֥י מוּצָֽק׃
[WLC | HE | OT | Job | Chapter 37 | Verse 19] ה֭וֹדִיעֵנוּ מַה־נֹּ֣אמַר ל֑וֹ לֹ֥א־נַ֝עֲרֹ֗ךְ מִפְּנֵי־חֹֽשֶׁךְ׃
[WLC | HE | OT | Job | Chapter 37 | Verse 20] הַֽיְסֻפַּר־ל֭וֹ כִּ֣י אֲדַבֵּ֑ר אִֽם־אָ֥מַר אִ֝֗ישׁ כִּ֣י יְבֻלָּֽע׃
[WLC | HE | OT | Job | Chapter 37 | Verse 21] וְעַתָּ֤ה ׀ לֹ֘א רָ֤אוּ א֗וֹר בָּהִ֣יר ה֭וּא בַּשְּׁחָקִ֑ים וְר֥וּחַ עָ֝בְרָ֗ה וַֽתְּטַהֲרֵֽם׃
[WLC | HE | OT | Job | Chapter 37 | Verse 22] מִ֭צָּפוֹן זָהָ֣ב יֶֽאֱתֶ֑ה עַל־אֱ֝ל֗וֹהַּ נ֣וֹרָא הֽוֹד׃
[WLC | HE | OT | Job | Chapter 37 | Verse 23] שַׁדַּ֣י לֹֽא־מְ֭צָאנֻהוּ שַׂגִּיא־כֹ֑חַ וּמִשְׁפָּ֥ט וְרֹב־צְ֝דָקָ֗ה לֹ֣א יְעַנֶּֽה׃
[WLC | HE | OT | Job | Chapter 37 | Verse 24] לָ֭כֵן יְרֵא֣וּהוּ אֲנָשִׁ֑ים לֹֽא־יִ֝רְאֶ֗ה כָּל־חַכְמֵי־לֵֽב׃ פ
