[KJV | EN | OT | Isaiah | Chapter 1 | Verse 1] The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 2] Hear, O heavens, and give ear, O earth: For the Lord hath spoken, I have nourished and brought up children, And they have rebelled against me.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 3] The ox knoweth his owner, And the ass his master’s crib: But Israel doth not know, My people doth not consider.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 4] Ah sinful nation, a people laden with iniquity, A seed of evildoers, children that are corrupters: They have forsaken the Lord, They have provoked the Holy One of Israel unto anger, They are gone away backward.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 5] Why should ye be stricken any more? Ye will revolt more and more: The whole head is sick, and the whole heart faint.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 6] From the sole of the foot even unto the head there is no soundness in it; But wounds, and bruises, and putrifying sores: They have not been closed, neither bound up, neither mollified with ointment.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 7] Your country is desolate, Your cities are burnt with fire: Your land, strangers devour it in your presence, And it is desolate, as overthrown by strangers.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 8] And the daughter of Zion is left as a cottage in a vineyard, As a lodge in a garden of cucumbers, As a besieged city.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 9] Except the Lord of hosts had left unto us a very small remnant, We should have been as Sodom, And we should have been like unto Gomorrah.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 10] Hear the word of the Lord, ye rulers of Sodom; Give ear unto the law of our God, ye people of Gomorrah.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 11] To what purpose is the multitude of your sacrifices unto me? saith the Lord: I am full of the burnt offerings of rams, and the fat of fed beasts; And I delight not in the blood of bullocks, or of lambs, or of he goats.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 12] When ye come to appear before me, Who hath required this at your hand, to tread my courts?
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 13] Bring no more vain oblations; incense is an abomination unto me; The new moons and sabbaths, the calling of assemblies, I cannot away with; It is iniquity, even the solemn meeting.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 14] Your new moons and your appointed feasts my soul hateth: They are a trouble unto me; I am weary to bear them.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 15] And when ye spread forth your hands, I will hide mine eyes from you: Yea, when ye make many prayers, I will not hear: Your hands are full of blood.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 16] Wash ye, make you clean; put away the evil of your doings from before mine eyes;
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 17] Cease to do evil; learn to do well; Seek judgment, relieve the oppressed, Judge the fatherless, plead for the widow.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 18] Come now, and let us reason together, saith the Lord: Though your sins be as scarlet, they shall be as white as snow; Though they be red like crimson, they shall be as wool.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 19] If ye be willing and obedient, ye shall eat the good of the land:
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 20] But if ye refuse and rebel, Ye shall be devoured with the sword: For the mouth of the Lord hath spoken it.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 21] How is the faithful city become a harlot! It was full of judgment; righteousness lodged in it; But now murderers.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 22] Thy silver is become dross, Thy wine mixt with water:
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 23] Thy princes are rebellious, and companions of thieves: Every one loveth gifts, and followeth after rewards: They judge not the fatherless, Neither doth the cause of the widow come unto them.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 24] Therefore saith the Lord, the Lord of hosts, the mighty One of Israel, Ah, I will ease me of mine adversaries, And avenge me of mine enemies:
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 25] And I will turn my hand upon thee, And purely purge away thy dross, And take away all thy tin:
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 26] And I will restore thy judges as at the first, And thy counsellers as at the beginning: Afterward thou shalt be called, The city of righteousness, the faithful city.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 27] Zion shall be redeemed with judgment, And her converts with righteousness.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 28] And the destruction of the transgressors and of the sinners shall be together, And they that forsake the Lord shall be consumed.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 29] For they shall be ashamed of the oaks which ye have desired, And ye shall be confounded for the gardens that ye have chosen.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 30] For ye shall be as an oak whose leaf fadeth, And as a garden that hath no water.
[KJV | EN | OT | Isaiah | Chapter 1 | Verse 31] And the strong shall be as tow, And the maker of it as a spark, And they shall both burn together, and none shall quench them.
