[BSB | EN | OT | Proverbs | Chapter 15 | Verse 1] A gentle answer turns away wrath, but a harsh word stirs up anger.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 2] The tongue of the wise commends knowledge, but the mouth of the fool spouts folly.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 3] The eyes of the LORD are in every place, observing the evil and the good.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 4] A soothing tongue is a tree of life, but a perverse tongue crushes the spirit.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 5] A fool rejects his father’s discipline, but whoever heeds correction is prudent.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 6] The house of the righteous has great treasure, but the income of the wicked is trouble.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 7] The lips of the wise spread knowledge, but not so the hearts of fools.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 8] The sacrifice of the wicked is detestable to the LORD, but the prayer of the upright is His delight.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 9] The LORD detests the way of the wicked, but He loves those who pursue righteousness.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 10] Discipline is harsh for him who leaves the path; he who hates correction will die.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 11] Sheol and Abaddon lie open before the LORD— how much more the hearts of men!
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 12] A mocker does not love to be reproved, nor will he consult the wise.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 13] A joyful heart makes a cheerful countenance, but sorrow of the heart crushes the spirit.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 14] A discerning heart seeks knowledge, but the mouth of a fool feeds on folly.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 15] All the days of the oppressed are bad, but a cheerful heart has a continual feast.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 16] Better a little with the fear of the LORD than great treasure with turmoil.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 17] Better a dish of vegetables where there is love than a fattened ox with hatred.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 18] A hot-tempered man stirs up strife, but he who is slow to anger calms dispute.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 19] The way of the slacker is like a hedge of thorns, but the path of the upright is a highway.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 20] A wise son brings joy to his father, but a foolish man despises his mother.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 21] Folly is joy to one who lacks judgment, but a man of understanding walks a straight path.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 22] Plans fail for lack of counsel, but with many advisers they succeed.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 23] A man takes joy in a fitting reply— and how good is a timely word!
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 24] The path of life leads upward for the wise, that he may avoid going down to Sheol.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 25] The LORD tears down the house of the proud, but He protects the boundaries of the widow.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 26] The LORD detests the thoughts of the wicked, but the words of the pure are pleasant to Him.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 27] He who is greedy for unjust gain brings trouble on his household, but he who hates bribes will live.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 28] The heart of the righteous ponders how to answer, but the mouth of the wicked blurts out evil.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 29] The LORD is far from the wicked, but He hears the prayer of the righteous.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 30] The light of the eyes cheers the heart, and good news nourishes the bones.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 31] He who listens to life-giving reproof will dwell among the wise.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 32] He who ignores discipline despises himself, but whoever heeds correction gains understanding.
[BSB | EN | OT | Proverbs | Chapter 15 | Verse 33] The fear of the LORD is the instruction of wisdom, and humility comes before honor.
