[IRV | PA | OT | Proverbs | Chapter 6 | Verse 1] ਹੇ ਮੇਰੇ ਪੁੱਤਰ, ਜੇ ਤੂੰ ਆਪਣੇ ਗੁਆਂਢੀ ਦਾ ਜ਼ਮਾਨਤੀ ਹੋਇਆ ਜਾਂ ਕਿਸੇ ਪਰਾਏ ਦੇ ਲਈ ਹੱਥ ਉੱਤੇ ਹੱਥ ਮਾਰ ਕੇ ਜ਼ਿੰਮੇਵਾਰੀ ਲਈ ਹੋਵੇ,
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 2] ਤਾਂ ਤੂੰ ਆਪਣੇ ਹੀ ਮੂੰਹ ਦੇ ਬਚਨਾਂ ਨਾਲ ਫਸ ਗਿਆ, ਤੂੰ ਆਪਣੇ ਹੀ ਮੂੰਹ ਦੇ ਬਚਨਾਂ ਨਾਲ ਫੜ੍ਹਿਆ ਗਿਆ।
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 3] ਸੋ ਹੇ ਮੇਰੇ ਪੁੱਤਰ, ਜਦੋਂ ਤੂੰ ਆਪਣੇ ਗੁਆਂਢੀ ਦੇ ਹੱਥ ਪੈ ਗਿਆ, ਹੁਣ ਅਜਿਹਾ ਕਰ ਤਾਂ ਤੂੰ ਛੁਟੇਂਗਾ, ਜਾ, ਨੀਵਾਂ ਹੋ ਕੇ ਆਪਣੇ ਗੁਆਂਢੀ ਨੂੰ ਮਨਾ ਲੈ।
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 4] ਨਾ ਆਪਣੀਆਂ ਅੱਖਾਂ ਵਿੱਚ ਨੀਂਦ ਆਉਣ ਦੇ, ਨਾ ਆਪਣੀਆਂ ਪਲਕਾਂ ਨੂੰ ਝਪਕਣ ਦੇ।
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 5] ਜਿਵੇਂ ਸ਼ਿਕਾਰੀ ਦੇ ਹੱਥੋਂ ਹਿਰਨੀ ਅਤੇ ਚਿੜ੍ਹੀਮਾਰ ਦੇ ਹੱਥੋਂ ਚਿੜ੍ਹੀ, ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਆਪਣੇ ਆਪ ਨੂੰ ਛੁਡਾ ਲੈ।
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 6] ਹੇ ਆਲਸੀ, ਤੂੰ ਕੀੜੀ ਕੋਲ ਜਾ, ਉਹ ਦੇ ਰਾਹਾਂ ਨੂੰ ਵੇਖ ਅਤੇ ਬੁੱਧਵਾਨ ਬਣ,
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 7] ਜਿਸ ਦਾ ਨਾ ਕੋਈ ਆਗੂ, ਨਾ ਪ੍ਰਧਾਨ, ਨਾ ਹਾਕਮ ਹੈ,
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 8] ਉਹ ਆਪਣਾ ਭੋਜਨ ਗਰਮੀਆਂ ਵਿੱਚ ਜੋੜਦੀ ਅਤੇ ਵਾਢੀ ਦੇ ਵੇਲੇ ਆਪਣੀਆਂ ਖਾਣ ਵਾਲੀਆਂ ਵਸਤਾਂ ਇਕੱਠੀਆਂ ਕਰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 9] ਹੇ ਆਲਸੀ, ਤੂੰ ਕਦੋਂ ਤੱਕ ਪਿਆ ਰਹੇਂਗਾ? ਤੂੰ ਕਦੋਂ ਆਪਣੀ ਨੀਂਦ ਤੋਂ ਉੱਠੇਂਗਾ?
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 10] ਰੱਤੀ ਕੁ ਨੀਂਦ, ਰੱਤੀ ਕੁ ਊਂਘ, ਰੱਤੀ ਕੁ ਹੱਥ ਇਕੱਠੇ ਕਰਕੇ ਲੰਮਾ ਪੈਣਾ,
[IRV | PA | OT | Proverbs | Chapter 6 | Verse 11] ਇਸੇ ਤਰ੍ਹਾਂ ਗਰੀਬੀ ਡਾਕੂ ਵਾਂਗੂੰ, ਅਤੇ ਤੰਗੀ ਸ਼ਸਤਰਧਾਰੀ ਵਾਂਗੂੰ ਤੇਰੇ ਉੱਤੇ ਆ ਪਵੇਗੀ!
