[IRV | PA | OT | Job | Chapter 29 | Verse 1] ਅੱਯੂਬ ਨੇ ਤਰਕ ਦੇ ਕੇ ਆਖਿਆ,
[IRV | PA | OT | Job | Chapter 29 | Verse 2] “ਕਾਸ਼ ਕਿ ਮੇਰੇ ਹਾਲਾਤ ਪ੍ਰਾਚੀਨ ਮਹੀਨਿਆਂ ਜਿਹੇ ਹੁੰਦੇ, ਜਿਵੇਂ ਉਨ੍ਹਾਂ ਦਿਨਾਂ ਵਿੱਚ ਜਦ ਪਰਮੇਸ਼ੁਰ ਮੇਰੀ ਪਾਲਣਾ ਕਰਦਾ ਸੀ,
[IRV | PA | OT | Job | Chapter 29 | Verse 3] ਜਦ ਉਹ ਦਾ ਦੀਵਾ ਮੇਰੇ ਸਿਰ ਉੱਤੇ ਲੋ ਕਰਦਾ ਸੀ, ਜਦ ਮੈਂ ਉਹ ਦੇ ਚਾਨਣ ਨਾਲ ਹਨੇਰੇ ਵਿੱਚ ਚੱਲਦਾ ਸੀ,
[IRV | PA | OT | Job | Chapter 29 | Verse 4] ਜਿਵੇਂ ਮੈਂ ਆਪਣੀ ਵਾਫ਼ਰੀ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਹੁੰਦਾ ਸੀ, ਜਦ ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਿੱਤਰਤਾ ਮੇਰੇ ਤੰਬੂ ਉੱਤੇ ਹੀ ਸੀ,
[IRV | PA | OT | Job | Chapter 29 | Verse 5] ਜਦ ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਪਰਮੇਸ਼ੁਰ ਅਜੇ ਮੇਰੇ ਨਾਲ ਹੀ ਸੀ, ਅਤੇ ਮੇਰੇ ਬਾਲ ਬੱਚੇ ਮੇਰੇ ਆਲੇ-ਦੁਆਲੇ ਸਨ,
[IRV | PA | OT | Job | Chapter 29 | Verse 6] ਤਦ ਮੇਰੇ ਕਦਮ ਦਹੀਂ ਨਾਲ ਧੋਤੇ ਜਾਂਦੇ, ਅਤੇ ਚੱਟਾਨ ਮੇਰੇ ਲਈ ਤੇਲ ਦੀਆਂ ਧਾਰਾਂ ਵਗਾਉਂਦੀ ਸੀ।
[IRV | PA | OT | Job | Chapter 29 | Verse 7] “ਜਦ ਮੈਂ ਨਗਰ ਦੇ ਫਾਟਕ ਕੋਲ ਜਾਂਦਾ, ਜਦ ਮੈਂ ਚੌਂਕ ਵਿੱਚ ਆਪਣੀ ਚੌਂਕੀ ਤਿਆਰ ਕਰਦਾ ਸੀ,
[IRV | PA | OT | Job | Chapter 29 | Verse 8] ਤਦ ਜੁਆਨ ਮੈਨੂੰ ਵੇਖ ਕੇ ਪਿੱਛੇ ਹਟ ਜਾਂਦੇ, ਅਤੇ ਬਜ਼ੁਰਗ ਉੱਠ ਖੜ੍ਹੇ ਹੁੰਦੇ ਸਨ।
[IRV | PA | OT | Job | Chapter 29 | Verse 9] ਹਾਕਮ ਗੱਲਾਂ ਕਰਨੋਂ ਰੁੱਕ ਜਾਂਦੇ ਸਨ, ਅਤੇ ਆਪਣੇ ਹੱਥ ਮੂੰਹ ਉੱਤੇ ਰੱਖਦੇ ਸਨ।
[IRV | PA | OT | Job | Chapter 29 | Verse 10] ਪ੍ਰਧਾਨਾਂ ਦੀ ਅਵਾਜ਼ ਬੰਦ ਹੋ ਜਾਂਦੀ, ਅਤੇ ਉਹਨਾਂ ਦੀ ਜੀਭ ਤਾਲੂ ਨਾਲ ਲੱਗ ਜਾਂਦੀ ਸੀ।
[IRV | PA | OT | Job | Chapter 29 | Verse 11] ਜੋ ਕੋਈ ਮੈਨੂੰ ਸੁਣਦਾ ਤਾਂ ਉਹ ਮੈਨੂੰ ਧੰਨ ਆਖਦਾ ਸੀ, ਅਤੇ ਜਦ ਕੋਈ ਮੈਨੂੰ ਵੇਖਦਾ ਤਦ ਮੇਰੇ ਵਿਖੇ ਉਹ ਸਾਖੀ ਦਿੰਦਾ ਸੀ,
[IRV | PA | OT | Job | Chapter 29 | Verse 12] ਕਿਉਂ ਜੋ ਮੈਂ ਮਸਕੀਨ ਨੂੰ ਛੁਡਾਉਂਦਾ ਸੀ ਜਦੋਂ ਉਹ ਦੁਹਾਈ ਦਿੰਦਾ, ਅਤੇ ਯਤੀਮ ਨੂੰ ਜਦੋਂ ਉਹ ਦਾ ਕੋਈ ਸਹਾਇਕ ਨਹੀਂ ਸੀ।
[IRV | PA | OT | Job | Chapter 29 | Verse 13] ਨਾਸ ਹੋਣ ਵਾਲੇ ਵੀ ਮੈਨੂੰ ਬਰਕਤ ਦਿੰਦੇ ਸਨ, ਅਤੇ ਵਿਧਵਾ ਦਾ ਦਿਲ ਮੇਰੇ ਕਾਰਨ ਜੈਕਾਰਾ ਗਜਾਉਂਦਾ ਸੀ।
[IRV | PA | OT | Job | Chapter 29 | Verse 14] ਮੈਂ ਧਰਮ ਨੂੰ ਪਹਿਨ ਲੈਂਦਾ ਅਤੇ ਉਹ ਮੇਰਾ ਲਿਬਾਸ ਹੁੰਦਾ ਸੀ, ਮੇਰਾ ਨਿਆਂ ਚੋਗੇ ਅਤੇ ਪਗੜੀ ਜਿਹਾ ਸੀ,
[IRV | PA | OT | Job | Chapter 29 | Verse 15] ਮੈਂ ਅੰਨ੍ਹਿਆਂ ਲਈ ਅੱਖਾਂ ਸੀ, ਅਤੇ ਲੰਗੜਿਆਂ ਲਈ ਪੈਰ ਠਹਿਰਦਾ ਸੀ,
[IRV | PA | OT | Job | Chapter 29 | Verse 16] ਮੈਂ ਕੰਗਾਲਾਂ ਲਈ ਪਿਤਾ ਸੀ, ਅਤੇ ਮੈਂ ਨਾਵਾਕਿਫ਼ ਦੇ ਮੁਕੱਦਮੇ ਦੀ ਵੀ ਪੜਤਾਲ ਕਰਦਾ ਸੀ
[IRV | PA | OT | Job | Chapter 29 | Verse 17] ਮੈਂ ਬੁਰਿਆਰ ਦੇ ਵੱਡੇ ਦੰਦ ਭੰਨ ਸੁੱਟਦਾ, ਅਤੇ ਉਹ ਦੇ ਦੰਦਾਂ ਤੋਂ ਸ਼ਿਕਾਰ ਖੋਹ ਲੈਂਦਾ ਸੀ।
